"@timestamp","route_info.vid","route_info.location","route_info.timestamp"
"Apr 18, 2023 @ 23:59:13.364",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:58:57.000"
"Apr 18, 2023 @ 23:58:09.740",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:57:57.000"
"Apr 18, 2023 @ 23:57:06.801",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:56:47.000"
"Apr 18, 2023 @ 23:55:57.586",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:55:37.000"
"Apr 18, 2023 @ 23:54:39.070",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:54:27.000"
"Apr 18, 2023 @ 23:53:19.512",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:53:07.000"
"Apr 18, 2023 @ 23:52:19.155",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:52:07.000"
"Apr 18, 2023 @ 23:51:01.117",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:50:47.000"
"Apr 18, 2023 @ 23:49:19.466",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:48:47.000"
"Apr 18, 2023 @ 23:47:59.485",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:44:02.000"
"Apr 18, 2023 @ 23:46:25.409",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:44:02.000"
"Apr 18, 2023 @ 23:45:19.482",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:44:02.000"
"Apr 18, 2023 @ 23:44:19.437",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:43:42.000"
"Apr 18, 2023 @ 23:43:05.354",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:42:52.000"
"Apr 18, 2023 @ 23:42:04.148",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:41:42.000"
"Apr 18, 2023 @ 23:40:20.248",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:40:02.000"
"Apr 18, 2023 @ 23:39:11.450",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:38:52.000"
"Apr 18, 2023 @ 23:38:03.967",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:37:52.000"
"Apr 18, 2023 @ 23:37:03.615",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:36:42.000"
"Apr 18, 2023 @ 23:35:39.580",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:35:32.000"
"Apr 18, 2023 @ 23:34:39.271",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:34:32.000"
"Apr 18, 2023 @ 23:33:19.396",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:33:12.000"
"Apr 18, 2023 @ 23:32:09.650",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:32:02.000"
"Apr 18, 2023 @ 23:31:07.615",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:30:52.000"
"Apr 18, 2023 @ 23:29:57.470",DL1PC5335,"POINT (77.226532 28.579411)","Apr 18, 2023 @ 23:29:42.000"
"Apr 18, 2023 @ 23:28:46.765",DL1PC5335,"POINT (77.227666 28.579339)","Apr 18, 2023 @ 23:28:32.000"
"Apr 18, 2023 @ 23:27:45.031",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:27:32.000"
"Apr 18, 2023 @ 23:26:38.117",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:26:22.000"
"Apr 18, 2023 @ 23:25:27.367",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:25:12.000"
"Apr 18, 2023 @ 23:24:19.402",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:24:12.000"
"Apr 18, 2023 @ 23:23:19.013",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:23:12.000"
"Apr 18, 2023 @ 23:22:15.432",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:22:02.000"
"Apr 18, 2023 @ 23:21:08.272",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:20:52.000"
"Apr 18, 2023 @ 23:19:58.527",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:19:42.000"
"Apr 18, 2023 @ 23:18:46.924",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:18:32.000"
"Apr 18, 2023 @ 23:17:37.563",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:17:22.000"
"Apr 18, 2023 @ 23:16:27.514",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:16:12.000"
"Apr 18, 2023 @ 23:15:19.044",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:15:12.000"
"Apr 18, 2023 @ 23:14:13.835",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:14:02.000"
"Apr 18, 2023 @ 23:13:04.715",DL1PC5335,"POINT (77.22765 28.579268)","Apr 18, 2023 @ 23:12:52.000"
"Apr 18, 2023 @ 23:12:02.891",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:11:52.000"
"Apr 18, 2023 @ 23:11:02.853",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:10:52.000"
"Apr 18, 2023 @ 23:09:56.889",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:09:42.000"
"Apr 18, 2023 @ 23:08:46.755",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:08:32.000"
"Apr 18, 2023 @ 23:07:41.282",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:07:32.000"
"Apr 18, 2023 @ 23:06:38.793",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:06:32.000"
"Apr 18, 2023 @ 23:05:19.025",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:05:12.000"
"Apr 18, 2023 @ 23:04:16.378",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:04:02.000"
"Apr 18, 2023 @ 23:03:09.877",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:03:02.000"
"Apr 18, 2023 @ 23:02:05.395",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:01:52.000"
"Apr 18, 2023 @ 23:00:59.945",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 23:00:52.000"
"Apr 18, 2023 @ 22:59:51.390",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:59:42.000"
"Apr 18, 2023 @ 22:58:27.351",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:57:42.000"
"Apr 18, 2023 @ 22:57:19.005",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:57:12.000"
"Apr 18, 2023 @ 22:56:17.149",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:56:02.000"
"Apr 18, 2023 @ 22:54:19.375",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:54:12.000"
"Apr 18, 2023 @ 22:52:49.371",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:52:42.000"
"Apr 18, 2023 @ 22:51:23.577",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:51:12.000"
"Apr 18, 2023 @ 22:50:19.550",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:50:12.000"
"Apr 18, 2023 @ 22:48:47.173",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:48:32.000"
"Apr 18, 2023 @ 22:47:19.046",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:47:12.000"
"Apr 18, 2023 @ 22:46:17.368",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:46:02.000"
"Apr 18, 2023 @ 22:44:51.269",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:44:42.000"
"Apr 18, 2023 @ 22:43:19.469",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:43:02.000"
"Apr 18, 2023 @ 22:42:19.011",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:42:12.000"
"Apr 18, 2023 @ 22:41:17.344",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:41:02.000"
"Apr 18, 2023 @ 22:39:59.017",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:39:52.000"
"Apr 18, 2023 @ 22:38:47.188",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:38:32.000"
"Apr 18, 2023 @ 22:37:24.330",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:37:12.000"
"Apr 18, 2023 @ 22:36:20.971",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:36:12.000"
"Apr 18, 2023 @ 22:35:19.926",DL1PC5335,"POINT (77.22772 28.579335)","Apr 18, 2023 @ 22:35:12.000"
"Apr 18, 2023 @ 22:34:19.894",DL1PC5335,"POINT (77.22911 28.579321)","Apr 18, 2023 @ 22:33:30.000"
"Apr 18, 2023 @ 22:33:19.385",DL1PC5335,"POINT (77.229786 28.579291)","Apr 18, 2023 @ 22:33:10.000"
"Apr 18, 2023 @ 22:32:19.397",DL1PC5335,"POINT (77.231814 28.57936)","Apr 18, 2023 @ 22:00:15.000"
"Apr 18, 2023 @ 22:30:59.655",DL1PC5335,"POINT (77.231814 28.57936)","Apr 18, 2023 @ 22:00:15.000"
"Apr 18, 2023 @ 22:29:56.202",DL1PC5335,"POINT (77.231814 28.57936)","Apr 18, 2023 @ 22:00:15.000"
"Apr 18, 2023 @ 22:28:47.173",DL1PC5335,"POINT (77.231814 28.57936)","Apr 18, 2023 @ 22:00:15.000"
"Apr 18, 2023 @ 22:27:19.043",DL1PC5335,"POINT (77.231814 28.57936)","Apr 18, 2023 @ 22:00:15.000"
"Apr 18, 2023 @ 22:26:07.064",DL1PC5335,"POINT (77.231814 28.57936)","Apr 18, 2023 @ 22:00:15.000"
